Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc
12,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.095,27.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.095,0.0,2.1,0.038,3.8,9.7,0.0,0.0
9,0.0,0.0,0.0,0.0,0.4,0.0,0.066,0.0,0.0,0.016,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.088,0.0,2.1,0.007,3.2,7.7,0.0,0.0
26,0.072,0.069,0.034,0.012,6.3,6.3,0.051,0.0,0.0,0.073,23.1,0.0,0.089,0.0,0.0,0.07,0.0,0.032,0.0,0.8,0.0,0.0,0.0,0.6,0.0,0.047,0.3,0.0,1.8,8.3,0.015,0.08
158,0.0,0.018,0.092,0.024,13.9,0.0,0.0,0.0,0.0,0.067,77.0,0.0,0.035,0.0,0.0,0.092,0.003,0.05,0.0,1.7,0.0,0.0,0.0,1.1,0.019,0.047,1.1,0.01,6.4,5.3,0.03,0.069
112,0.036,0.063,0.038,0.012,4.2,3.3,0.035,0.001,0.0,0.008,41.8,0.0,0.021,0.047,0.0,0.065,0.022,0.074,0.003,1.0,0.0,0.092,0.009,1.8,0.098,0.033,1.2,0.04,3.0,12.6,0.04,0.091
58,0.0,0.0,0.0,0.0,0.1,0.078,0.0,0.0,0.0,0.0,14.7,0.0,0.085,0.0,0.0,0.056,0.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.072,0.0,0.092,0.7,0.2,0.0,0.02
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,14.0,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.045,0.0,0.093,1.1,0.4,0.0,0.05
13,0.4,0.013,0.077,0.073,2.0,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,4.9,0.0,0.1,0.0,0.0,0.0,128.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0,3.8,0.0,0.1,0.0,0.0,0.0,127.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,0.0,0.0,0.0,0.0,7.4,0.0,0.1,0.0,0.0,0.0,171.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,0.0,4.2,0.0,0.1,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.0,0.0,0.095,29.0,0.0,0.0,0.027,0.0,0.019,0.093,0.0,0.064,0.0,0.0,0.0,0.0,2.7,0.035,0.1,3.0,0.0,4.4,26.0,0.052,0.088
121,0.0,0.0,0.0,0.0,3.4,0.0,0.1,0.0,0.0,0.0,127.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.0,0.0,0.0,127.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,5.5,0.0,0.1,0.0,0.0,0.0,128.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,0.0,0.0,0.0,0.0,5.6,0.0,0.1,0.0,0.0,0.0,172.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,0.0,0.0,0.0,0.0,3.9,0.0,0.1,0.0,0.0,0.0,126.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.0,0.0,0.0,128.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0,3.8,0.0,0.1,0.0,0.0,0.0,127.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0,2.9,0.0,0.1,0.0,0.0,0.0,128.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,0.0,0.0,0.0,0.0,5.2,0.0,0.1,0.0,0.0,0.0,173.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0,7.8,0.0,0.1,0.0,0.0,0.0,128.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.3,0.09,0.028,0.0,0.0,0.002,4.4,0.0,0.0,0.077,0.0,0.016,0.094,0.0,0.072,0.0,0.0,0.0,0.0,0.4,0.021,0.1,0.5,0.0,0.7,4.3,0.079,0.085
122,0.0,0.0,0.0,0.0,3.6,0.0,0.1,0.0,0.0,0.0,127.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,5.0,4.9,0.0,0.0,0.0,0.012,0.021,0.0,0.0,0.0,0.0,0.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.078,0.078,0.0,0.081,0.0,0.1,0.026,0.05
21,0.081,0.0,0.0,0.0,5.3,4.7,0.025,0.01,0.0,0.09,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.071,0.042,0.034,0.049,0.009,0.3,0.0,0.008
12,0.069,0.003,0.06,0.001,0.5,0.5,0.0,0.0,0.0,0.061,2.2,0.0,0.041,0.0,0.0,0.083,0.002,0.039,0.079,0.0,0.0,0.0,0.0,0.5,0.03,0.019,0.5,0.066,0.3,6.2,0.0,0.065
16,0.0,0.0,0.0,0.0,4.2,4.2,0.0,0.0,0.0,0.019,0.055,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.034,0.01,0.0,0.067,0.0,0.033,0.093,0.05
16,0.0,0.0,0.0,0.0,4.1,4.1,0.024,0.0,0.0,0.094,0.087,0.0,0.0,0.023,0.0,0.0,0.0,0.037,0.008,0.0,0.0,0.0,0.0,3.5,0.03,0.071,0.4,0.047,0.2,5.6,0.023,0.08
15,0.0,0.0,0.0,0.0,4.2,3.9,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.067,0.0,0.0,0.0,0.0,0.082,0.0
18,0.0,0.0,0.0,0.0,4.6,4.6,0.0,0.0,0.0,0.008,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.05,0.018,0.016,0.064,0.052,1.3,0.0,0.003
53,0.096,0.071,0.083,0.063,13.9,5.7,0.014,0.1,0.0,0.099,6.9,0.0,0.077,0.03,0.0,0.051,0.049,0.063,0.024,2.9,0.0,0.079,0.029,1.3,0.078,0.014,0.8,0.002,1.1,10.7,0.005,0.079
17,0.086,0.09,0.054,0.063,0.0,0.0,4.3,0.0,0.0,0.029,0.7,0.0,0.033,0.015,0.0,0.028,0.063,0.039,0.014,0.0,0.0,0.0,0.0,2.8,0.1,0.099,1.1,0.019,2.0,0.8,0.077,0.004
5,0.013,0.09,0.081,0.038,1.9,0.0,0.0,0.078,0.0,0.001,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0
11,0.032,0.058,0.06,0.015,2.9,2.0,0.0,0.012,0.0,0.083,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.045,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.0,0.7,0.0,0.0,6.7,5.6,0.1,0.2,0.0,0.025,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.0
18,0.042,0.05,0.1,0.012,4.4,3.5,0.0,0.0,0.0,0.008,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.0
24,0.067,0.0,0.0,0.0,5.9,3.8,0.0,0.0,0.0,0.021,0.05,0.0,0.021,0.0,0.0,0.084,0.039,0.09,0.035,0.0,0.0,0.0,0.0,0.2,0.071,0.038,0.2,0.082,0.2,0.3,0.052,0.059
4,0.043,0.0,0.0,0.0,1.0,0.8,0.0,0.083,0.0,0.076,0.051,0.0,0.04,0.0,0.0,0.017,0.099,0.098,0.09,0.0,0.0,0.0,0.0,0.08,0.038,0.029,0.055,0.013,0.027,0.4,0.052,0.032
90,0.5,0.0,0.0,0.0,21.2,9.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.056,0.0,0.0,0.0,0.8,0.0,0.014,0.2,0.0,0.024,5.1,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.023,0.014,0.8,0.1,1.4,12.2,0.0,0.027
1,0.002,0.057,0.024,0.095,0.3,0.054,0.032,0.2,0.0,0.028,1.6,0.0,0.007,0.025,0.0,0.018,0.046,0.055,0.011,2.6,0.0,0.061,0.0,2.7,0.015,0.032,0.3,0.0,0.2,3.2,0.048,0.036
4,0.008,0.039,0.004,0.041,1.0,0.0,0.01,0.3,0.0,0.059,4.8,0.0,0.0,0.0,0.0,0.062,0.064,0.0,0.0,2.2,0.0,0.0,0.0,1.3,0.0,0.071,1.0,0.0,1.6,17.5,0.0,0.0
2,0.029,0.0,0.0,0.0,0.5,0.0,0.034,0.0,0.0,0.063,2.5,0.0,0.051,0.0,0.0,0.058,0.042,0.0,0.075,0.4,0.0,0.0,0.0,0.6,0.0,0.054,0.5,0.0,0.5,2.4,0.0,0.0
2,0.087,0.029,0.082,0.074,0.4,0.4,0.035,0.09,0.0,0.056,2.0,0.0,0.06,0.049,0.0,0.025,0.045,0.05,0.061,0.032,0.0,0.027,0.052,0.3,0.094,0.099,0.1,0.1,0.2,4.6,0.03,0.091
18,0.1,0.0,0.0,0.0,3.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.043,0.0,0.0,0.0,1.6,0.0,0.091,0.0,0.0,0.0,5.7,0.0,0.035,0.0,0.0,0.027,0.095,0.0,0.093,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.6,0.2,0.2,0.1,2.6,0.2,0.023,0.2,0.0,0.065,1.9,0.0,0.084,0.059,0.0,0.099,0.025,0.081,0.023,0.2,0.0,0.0,0.0,0.2,0.028,0.039,3.1,0.096,2.3,25.5,0.0,0.044
3,0.044,0.041,0.012,0.008,0.9,0.8,0.045,0.087,0.0,0.009,3.9,0.0,0.071,0.091,0.0,0.009,0.045,0.006,0.033,0.2,0.0,0.089,0.042,0.5,0.055,0.012,0.3,0.037,1.0,9.4,0.059,0.011
14,0.039,0.066,0.066,0.045,3.8,3.2,0.1,0.6,0.0,0.049,23.0,0.0,0.008,0.036,0.0,0.093,0.1,0.044,0.094,0.3,0.0,0.092,0.041,7.6,0.003,0.069,2.7,0.095,2.7,27.8,0.093,0.014
5,0.091,0.0,0.0,0.0,1.3,0.0,0.027,0.0,0.0,0.018,0.3,0.0,0.008,0.0,0.0,0.055,0.001,0.0,0.0,0.5,0.0,0.0,0.0,0.8,0.072,0.009,0.8,0.078,3.3,11.2,0.0,0.001
7,0.003,0.076,0.004,0.061,1.8,1.7,0.01,0.1,0.0,0.049,0.6,0.0,0.06,0.063,0.0,0.015,0.032,0.0,0.004,4.6,0.0,0.071,0.032,0.8,0.071,0.036,1.1,0.012,4.5,27.8,0.08,0.085
2,0.076,0.0,0.0,0.0,0.5,0.0,0.009,0.071,0.0,0.0,2.6,0.0,0.01,0.0,0.0,0.052,0.014,0.0,0.0,2.7,0.0,0.0,0.0,0.039,0.059,0.066,0.3,0.089,0.7,8.5,0.0,0.01
2,0.059,0.0,0.0,0.0,0.5,0.0,0.045,0.0,0.0,0.1,6.4,0.0,0.024,0.0,0.0,0.004,0.096,0.0,0.0,1.8,0.0,0.0,0.0,0.6,0.0,0.0,0.8,0.0,0.8,7.2,0.0,0.0
2,0.028,0.048,0.067,0.046,0.4,0.019,0.068,0.058,0.0,0.0,1.6,0.0,0.073,0.079,0.0,0.055,0.088,0.064,0.051,0.1,0.0,0.03,0.02,0.3,0.092,0.061,0.9,0.026,0.7,8.3,0.08,0.049
2,0.047,0.01,0.081,0.068,0.3,0.0,0.1,0.038,0.0,0.012,0.068,0.0,0.011,0.092,0.0,0.082,0.083,0.0,0.083,0.3,0.0,0.0,0.0,6.8,0.069,0.2,2.1,0.044,1.9,18.1,0.088,0.019
12,0.8,0.6,0.056,0.088,1.1,0.6,0.1,0.5,0.0,0.095,0.1,0.0,0.065,0.008,0.0,0.055,0.088,0.0,0.072,0.001,0.0,0.0,0.0,4.0,0.052,0.018,4.0,0.008,4.7,7.7,0.086,0.036
5,0.2,0.034,0.084,0.063,1.4,0.0,0.1,0.4,0.0,0.001,0.2,0.0,0.026,0.079,0.0,0.08,0.088,0.0,0.03,0.7,0.0,0.0,0.0,12.6,0.011,0.1,2.6,0.036,2.1,19.8,0.02,0.015
1,0.094,0.043,0.082,0.023,0.2,0.089,0.039,0.052,0.0,0.059,0.011,0.0,0.034,0.019,0.0,0.046,0.041,0.0,0.066,0.2,0.0,0.019,0.004,0.4,0.049,0.003,0.5,0.049,0.9,6.0,0.062,0.071
48,0.7,0.3,0.0,0.0,10.5,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,3.1,1.3,0.0,0.0,6.8,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.2,0.0,0.0,0.0,3.3,2.6,0.1,0.0,0.0,0.013,24.6,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.029,0.0,0.0,0.022,0.0,5.1,0.028,0.057,0.8,0.045,4.2,9.6,0.005,0.058
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,236.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.086,0.0,2.4,0.0,0.0,0.0,0.0,0.042
4,0.2,0.2,0.6,0.4,0.4,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.028,0.032,0.073,0.4,0.0,0.0,0.0,0.0,0.003,199.4,0.0,0.06,0.05,0.0,0.022,0.0,0.027,0.0,0.0,0.0,0.0,0.0,4.0,0.097,0.2,2.0,0.078,0.0,18.0,0.0,0.006
2,0.0,0.014,0.043,0.071,0.4,0.0,0.0,0.0,0.0,0.064,199.4,0.0,0.007,0.093,0.0,0.051,0.0,0.096,0.0,0.0,0.0,0.0,0.0,4.0,0.059,0.2,2.0,0.019,0.0,18.0,0.0,0.006
1,0.073,0.022,0.044,0.074,0.01,0.0,0.083,0.005,0.0,0.07,0.045,0.0,0.02,0.066,0.0,0.04,0.027,0.0,0.048,0.004,0.0,0.0,0.0,0.022,0.078,0.007,0.2,0.012,0.098,0.6,0.0,0.049
1,0.075,0.029,0.067,0.057,0.002,0.058,0.1,0.015,0.0,0.048,2.8,0.0,0.065,0.008,0.0,0.078,0.02,0.051,0.021,0.2,0.0,0.036,0.042,1.0,0.048,0.034,0.8,0.024,2.1,2.4,0.076,0.071
61,5.2,0.9,0.1,0.3,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1.2,0.3,0.7,0.1,4.3,0.0,0.3,0.1,0.0,0.045,0.3,0.0,0.071,0.067,0.0,0.057,0.2,0.013,0.09,0.0,0.0,0.0,0.0,1.5,0.028,0.1,0.7,0.038,3.8,6.4,0.036,0.06
4,0.1,0.059,0.083,0.06,0.7,0.062,0.099,0.099,0.0,0.055,1.2,0.0,0.008,0.004,0.0,0.092,0.075,0.003,0.048,0.3,0.0,0.022,0.048,0.3,0.057,0.052,0.5,0.057,2.4,10.6,0.038,0.053
9,0.4,0.1,0.1,0.1,1.2,0.006,0.054,0.002,0.0,0.041,0.062,0.0,0.049,0.0,0.0,0.087,0.058,0.06,0.066,0.0,0.0,0.067,0.047,0.9,0.019,0.099,0.8,0.083,1.7,14.8,0.002,0.078
3,0.0,0.0,0.0,0.0,0.011,0.0,0.055,0.0,0.0,0.092,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.0,0.0,0.9,0.095,0.049,0.6,0.021,1.2,5.8,0.0,0.065
4,0.002,0.0,0.0,0.0,0.8,0.6,0.028,0.3,0.0,0.035,2.8,0.0,0.035,0.0,0.0,0.084,0.069,0.0,0.012,0.4,0.0,0.0,0.0,1.6,0.015,0.013,0.6,0.069,0.3,7.2,0.0,0.0
53,0.075,0.025,0.094,0.042,13.9,8.4,0.0,0.0,0.0,0.064,6.0,0.0,0.024,0.0,0.0,0.037,0.036,0.075,0.0,0.0,0.0,0.0,0.0,1.0,0.024,0.038,0.4,0.016,2.0,1.2,0.079,0.097
14,0.0,0.0,0.0,0.0,2.7,2.4,0.041,0.0,0.0,0.071,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.074,0.1,1.9,0.046,3.0,17.9,0.0,0.033
21,0.024,0.067,0.088,0.097,5.1,2.6,0.01,0.4,0.0,0.1,10.4,0.0,0.04,0.027,0.0,0.0,0.072,0.071,0.0,0.0,0.0,0.032,0.017,0.8,0.073,0.081,0.5,0.002,0.0,13.4,0.019,0.01
3,0.0,0.0,0.0,0.0,0.089,0.063,0.0,0.0,0.0,0.024,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.089,0.002,0.1,0.072,0.6,0.3,0.031,0.028
13,0.9,0.1,0.0,0.0,1.3,1.1,0.07,0.075,0.0,0.012,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.5,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0
20,0.061,0.093,0.083,0.036,5.3,4.4,0.097,0.2,0.0,0.1,9.3,0.0,0.0,0.042,0.0,0.011,0.05,0.09,0.053,0.2,0.0,0.026,0.018,0.5,0.038,0.1,0.8,0.04,2.1,3.8,0.0,0.005
15,1.7,0.9,0.093,0.2,0.087,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.063,0.033,0.065,0.04,19.7,9.9,0.1,0.2,0.0,0.1,12.2,0.0,0.021,0.085,0.0,0.09,0.044,0.0,0.098,0.3,0.0,0.047,0.012,3.6,0.033,0.1,1.6,0.1,2.9,28.3,0.029,0.1
3,0.0,0.0,0.0,0.0,0.1,0.018,0.0,0.0,0.0,0.011,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.094,0.052,0.7,0.006,1.2,10.9,0.018,0.059
1,0.018,0.057,0.031,0.06,0.031,0.065,0.024,0.071,0.0,0.1,4.2,0.0,0.006,0.045,0.0,0.078,0.078,0.097,0.061,3.5,0.0,0.061,0.039,0.4,0.085,0.035,0.2,0.016,0.5,6.8,0.0,0.055
6,0.095,0.076,0.097,0.064,1.2,0.6,0.2,0.4,0.0,0.083,4.1,0.0,0.021,0.033,0.0,0.028,0.043,0.0,0.086,1.0,0.0,0.1,0.025,1.2,0.017,0.087,0.7,0.0,3.1,22.2,0.052,0.082
54,0.0,0.0,0.0,0.0,13.4,9.3,0.0,0.0,0.0,0.038,6.5,0.0,0.0,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.044,0.011,0.8,0.0,0.8,5.6,0.051,0.066
1,0.002,0.051,0.086,0.089,0.006,0.067,0.045,0.013,0.0,0.075,4.5,0.0,0.056,0.059,0.0,0.066,0.091,0.081,0.0,0.2,0.0,0.014,0.031,0.6,0.017,0.019,0.6,0.038,1.1,6.0,0.063,0.089
26,0.084,0.0,0.0,0.0,6.7,3.3,0.02,0.065,0.0,0.024,10.5,0.0,0.048,0.079,0.0,0.08,0.026,0.021,0.09,1.5,0.0,0.1,0.002,1.8,0.011,0.021,1.4,0.1,1.2,17.3,0.006,0.072
2,0.067,0.037,0.064,0.044,0.5,0.069,0.07,0.018,0.0,0.019,4.1,0.0,0.031,0.006,0.0,0.005,0.027,0.061,0.07,0.2,0.0,0.04,0.015,8.4,0.021,0.1,6.1,0.017,2.1,4.5,0.07,0.038
2,0.054,0.001,0.011,0.077,0.3,0.2,0.054,0.1,0.0,0.041,0.087,0.0,0.071,0.048,0.0,0.028,0.085,0.091,0.023,0.2,0.0,0.079,0.046,0.2,0.016,0.062,0.4,0.076,0.8,9.4,0.043,0.059
38,0.4,0.0,0.0,0.0,7.6,4.7,0.7,3.5,0.0,0.0,226.1,0.0,0.064,0.098,0.0,0.016,0.2,0.1,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.012,0.066,0.045,0.052,0.1,0.071,0.2,0.09,0.0,0.075,2.2,0.0,0.005,0.089,0.0,0.096,0.057,0.068,0.013,1.0,0.0,0.062,0.052,1.8,0.073,0.087,0.049,0.021,1.5,9.3,0.08,0.09
1,0.095,0.0,0.0,0.0,0.2,0.0,0.012,0.0,0.0,0.007,2.7,0.0,0.066,0.07,0.0,0.098,0.027,0.0,0.0,2.2,0.0,0.0,0.0,0.6,0.0,0.091,0.4,0.0,0.9,5.5,0.037,0.0
1,0.088,0.0,0.0,0.0,0.3,0.0,0.071,0.1,0.0,0.094,7.6,0.0,0.033,0.091,0.0,0.031,0.02,0.047,0.034,1.6,0.0,0.0,0.0,3.1,0.047,0.079,2.2,0.049,3.1,26.4,0.074,0.045
